Open,high,low,close,volume,UnixTime
62.294,62.480,58.800,60.463,187024278.1091,2018-11-07
60.461,61.098,55.320,55.592,201987823.0533,2018-11-08
55.592,58.689,55.520,56.562,179490871.7124,2018-11-09
56.536,58.080,56.390,57.200,102840152.8865,2018-11-10
57.206,57.450,55.800,57.179,84092624.6957,2018-11-11
57.158,59.692,56.651,58.500,142375306.4491,2018-11-12
58.509,59.601,57.180,57.425,141631193.4390,2018-11-13
57.425,57.987,50.123,55.400,275416986.2156,2018-11-14
55.400,55.700,48.801,53.900,288328779.1920,2018-11-15
53.900,54.499,52.030,52.960,138772412.5444,2018-11-16
52.959,56.534,52.222,55.291,143820042.4455,2018-11-17
55.297,58.808,55.010,57.660,277896467.8751,2018-11-18
57.688,57.775,52.500,53.060,442586385.3119,2018-11-19
53.060,55.201,47.800,49.000,411208329.7644,2018-11-20
49.000,51.700,46.900,50.064,279438257.3205,2018-11-21
50.060,50.390,47.211,47.400,128665434.9111,2018-11-22
47.395,48.000,44.010,45.500,278360043.5551,2018-11-23
45.498,46.743,40.802,41.509,214046703.2364,2018-11-24
41.505,41.729,36.498,38.700,209050632.2205,2018-11-25

244.434,249.999,220.000,243.000,5881498.6131,2018-01-01
243.500,267.999,236.300,258.612,9445695.4439,2018-01-02
258.569,329.999,256.783,326.898,19175504.6746,2018-01-03
326.897,401.000,322.123,358.873,25311949.7826,2018-01-04
358.999,378.500,300.000,312.428,17394669.3116,2018-01-05
312.000,348.700,300.000,323.139,7569938.7475,2018-01-06
323.006,342.001,315.000,334.901,5371680.5874,2018-01-07
334.901,336.335,250.000,309.987,10168548.9549,2018-01-08
309.755,324.999,252.024,265.000,12059859.3369,2018-01-09
265.000,290.012,200.000,241.003,22041214.7770,2018-01-10
241.003,283.000,205.700,239.400,24475363.3123,2018-01-11
239.000,268.985,230.010,248.000,12041189.2919,2018-01-12
248.000,255.000,235.000,246.600,5561533.0136,2018-01-13
246.600,246.880,220.302,230.480,6836568.0303,2018-01-14
229.801,239.889,193.000,198.170,11034145.2137,2018-01-15
199.300,210.000,50.000,139.899,61197835.2855,2018-01-16
139.100,180.000,100.000,153.550,72714611.6664,2018-01-17
153.550,198.000,140.000,182.084,49086059.2641,2018-01-18
182.491,194.499,172.100,178.000,37440748.9483,2018-01-19
178.001,190.000,160.000,180.401,21416967.8897,2018-01-20
180.401,180.569,153.000,160.000,34054975.3113,2018-01-21
160.001,163.799,130.000,151.000,42856502.3523,2018-01-22
150.000,159.200,132.066,152.900,42584649.8001,2018-01-23
152.520,160.000,143.005,148.432,33211764.3938,2018-01-24
148.959,151.498,145.000,146.000,11095528.0942,2018-01-25
146.001,146.400,110.000,126.800,59379816.8448,2018-01-26
126.800,141.000,126.000,136.104,22263719.1833,2018-01-27
136.399,149.000,129.880,147.480,21266874.7018,2018-01-28
147.220,147.490,137.000,139.000,20724196.0421,2018-01-29
139.000,139.800,117.005,119.016,42552917.0694,2018-01-30
119.016,124.890,104.000,123.980,43053109.6249,2018-01-31
123.990,124.000,98.383,101.430,59883761.7105,2018-02-01
101.430,109.568,66.000,96.902,145048027.3857,2018-02-02
96.739,109.000,84.119,102.800,86580441.1799,2018-02-03
102.800,103.100,88.160,89.699,51846242.9348,2018-02-04
89.699,91.500,71.301,72.990,75049805.9149,2018-02-05
72.984,87.000,61.030,85.400,138260565.5139,2018-02-06
85.027,89.100,75.111,78.987,81974641.1536,2018-02-07
78.518,86.500,78.509,85.010,50754983.8360,2018-02-08
85.010,107.000,82.400,106.790,84929199.4255,2018-02-09
106.610,148.000,103.000,112.795,151178449.8277,2018-02-10
112.507,114.300,98.000,107.500,87719300.0033,2018-02-11
107.497,117.445,107.300,117.000,51773022.3050,2018-02-12
117.000,117.489,105.100,108.388,48258490.7325,2018-02-13
108.301,122.000,107.000,119.250,39861767.0301,2018-02-14
119.250,122.900,115.000,119.900,48187910.6480,2018-02-15
119.900,120.400,116.203,119.400,25399363.9812,2018-02-16
119.400,127.000,118.701,126.897,38651612.7902,2018-02-17
126.850,127.000,113.722,117.000,60765889.1591,2018-02-18
116.999,121.498,116.545,120.140,18157941.8814,2018-02-19
120.270,121.000,111.112,113.386,22041983.0576,2018-02-20
113.121,115.500,102.200,105.480,50514286.9849,2018-02-21
105.480,109.800,95.002,97.180,61818483.5801,2018-02-22
97.181,107.000,93.501,102.900,57561546.7811,2018-02-23
102.999,105.600,96.500,100.000,36432943.5632,2018-02-24
100.003,100.602,92.000,97.600,30639363.8262,2018-02-25
97.600,101.500,94.200,99.422,33582830.3248,2018-02-26
99.422,103.999,98.700,100.198,21593867.8050,2018-02-27
99.970,101.500,95.500,95.799,18975451.2464,2018-02-28
95.799,99.999,95.000,97.606,18959750.5160,2018-03-01
97.777,98.300,95.010,95.658,11741282.5632,2018-03-02
95.724,97.500,95.000,95.270,9221805.2300,2018-03-03
95.270,104.200,93.396,103.000,26546638.6325,2018-03-04
102.920,115.000,100.015,101.089,76923424.0954,2018-03-05
101.001,104.300,96.430,97.280,38876255.7494,2018-03-06
97.238,98.500,90.001,91.499,46166730.8091,2018-03-07
91.499,94.650,87.000,87.250,45950396.2207,2018-03-08
